location_text,lat,lon
San Francisco,37.7792588,-122.4193286
New York City,40.7127281,-74.0060152
"Miami, Florida",25.7741728,-80.19362
"Boston, Massachusetts",42.3554334,-71.060511
"Denver, Colorado",39.7392364,-104.984862
California,36.7014631,-118.755997
Los Angeles,34.0536909,-118.242766
KSU,41.1442325,-81.3398321
UCLA,34.0708777,-118.4468503
"Los Angeles, CA",34.0536909,-118.242766
Chicago,41.8755616,-87.6244212
"Lebanon, TN",36.2079779,-86.2910945
Ohio,40.2253569,-82.6881395
Texas,31.2638905,-98.5456116
Tennessee,35.7730076,-86.2820081
NoVa,46.6851951,16.6779487
Oregon,43.9792797,-120.737257
"Evanston, IL",42.0693991,-87.682932
Utah,39.4225192,-111.714358
AZ,40.3936294,47.7872508
Rice-Eccles Stadium,40.7598537,-111.8489195
"Nashville, TN",36.1622767,-86.7742984
LA,20.0171109,103.378253
"Jefferson City, MO",38.577359,-92.1724265
"Provo, UT",40.2337289,-111.6587085
"Dakota Dunes, SD",42.4904114,-96.4922517
"Henderson, NV",36.0319602,-114.9822716
WY,43.1700264,-107.568534
"Winston-Salem, NC",36.0998131,-80.2440518
"Grand Forks, ND",47.9252104,-97.0306325
"Lubbock, TX",33.5855677,-101.8470215
pocatello idaho,42.8620287,-112.450627
Boston,42.3554334,-71.060511
unknown,26.492533,92.3308789
Purdue,40.430028,-86.9264211
"Albuquerque, NM",35.0841034,-106.650985
North Carolina,35.6729639,-79.0392919
Mars,45.022172,4.3221548
United States,39.7837304,-100.445882
"Orlando, FL",28.5421109,-81.3790304
"Prior Lake, MN",44.7133271,-93.4226873
"Miami, FL",25.7741728,-80.19362
"Palm Beach, Fla",26.6279798,-80.4494174
